"followers","track_id","artist_popularity","artist_id","album_id","duration_ms","album_name","name","duration_sec","track_name","track_popularity","label","release_date","album_popularity","genre"
"7429353","3JzbPfYjfUkbBZ24i35QHz","78","6tbjWDEIzxoDsBA1FuhfPW","5WWD7T6lI2JV1oyABrFq10","255262","Finally Enough Love: 50 Number Ones","Madonna","255.262","Secret (Junior'S Luscious Single Mix) - 2022 Remaster","32","Warner Records","2022-08-19 00:00:00 UTC","54","dance pop"
"94045","04iHyjuODvU57m4c5MdFv5","39","5RMUeKq0dZxg9RHE1f0B9P","18qwIZMLB1qdSYiikhk68l","183531","Order","Tm88","183.531","Order","41","Capitol Records","2018-11-16 00:00:00 UTC","32","atl trap"
"5358","29tJAsnSNMSTeTiaCDTz8d","25","3J84729yu2ddpUVNcbqeWQ","1DEQ3ytPB1lVn6WaUttMlw","207230","Winter Song","Megan Tibbits","207.23","Winter Song","6","Megan Tibbits","2016-11-26 00:00:00 UTC","2",""
"36910","3o4iiGSm8P0eyIvi90gQdh","42","4bsWHdJkFtq1r3TcXtKGdv","28ABjnAWwJUm8vE6CmLjv1","169426","Fifth Wheel","Dave Dudley","169.426","I Do","18","Little Mickey Records","2021-01-16 00:00:00 UTC","30","classic country pop"
"553","7qjVZn0zhg2a2q8kcYcQBh","1","7tggP0YcneyJwJzxzBaaG3","1yDS65TqO4B1H7CktdiRpW","199050","Melody","BTS48","199.05","The Long Road","0","BTS48","2020-10-20 00:00:00 UTC","0",""
"2316620","7AoXME65sKtpX443kzmszJ","0","0LyfQWJT6nXafLPZqxe9Of","6z2g1FJL4vHrJZj5MilIpy","208333","Action Time Vision (A Story Of Independent Uk Punk 1976-1979)","Various Artists","208.333","Little Miss Perfect","1","Cherry Red Records","2016-12-31 00:00:00 UTC","18",""
"82","3exemn2wEqFcK03xgBj0KP","0","13zHOYHnI9y3kK0Eooul6I","4prVkG0jRsrIKi9RSUnkik","118119","Migos","Yaddiya","118.119","Migos","0","Long Live GoGo Records","2023-09-18 00:00:00 UTC","0",""
"5106","2bI54SRZg8n4EYyHd5c5es","22","5Znb6NCOOTyI445iuPjwKe","0nyNGey0WmPog6GpefG5nu","412306","Hand Made Portrait","Calvin Keys","412.306","Sachmo'S Song","0","Silverado Records","2007-01-01 00:00:00 UTC","4","jazz funk"
"37513","3a8q7Q8JnAaYSXwMpH67WS","47","2fcn14wWIwWrnXAv89ovBk","3YQycvrIRGxQ1Q8cnO52gX","160333","Drake & Chill","Rifti Beats","160.333","Marvin'S Room Lofi","24","GameChops","2023-06-30 00:00:00 UTC","30","lo-fi vgm"
"1954","0p83CMBamVDOZg2IYyUZGd","16","46Ii49KGTckWh6cx3wObIo","6syMNvWQhioVNHQxfTtd42","239973","Let'S Go (Originally Performed By Calvin Harris & Ne-Yo) [Instrumental Version]","Karaoke All Hits","239.973","Let'S Go (Originally Performed By Calvin Harris & Ne-Yo) [Instrumental Version]","0","Singsongs Music Limited","2012-04-20 00:00:00 UTC","0","karaoke"
"4778","50ETCPGKYYZtBtrLI2Ioe3","17","6gBDYPJWwqOGmfQyWsDXPh","3l9fqfou71bazxsLlrA0Uk","257186","Foo","Alif Naaba","257.186","Africa","6","Seydoni","2005-05-27 00:00:00 UTC","12","burkinabe pop"
"62","6BAb2JEG5ZiC5hCAC6R0HN","0","6JOqJ2mrWqyTGvzSRo7KPF","0wVYg3N95ACbWViPwks719","243280","It'S All On Me","Young T.h.u.g.a.","243.28","Everywhere I Go","0","Showtyme Entertainment","2008-09-02 00:00:00 UTC","0",""
